ano,mes,sigla_uf,sigla_uf_nome,tipo_consumo,numero_consumidores,consumo
2004,1,AC,Acre,Total,,34840
2004,2,AC,Acre,Total,,33050
2004,3,AC,Acre,Total,,33858
2004,4,AC,Acre,Total,,34961
2004,5,AC,Acre,Total,,29766
2004,6,AC,Acre,Total,,32048
2004,7,AC,Acre,Total,,33659
2004,8,AC,Acre,Total,,34837
2004,9,AC,Acre,Total,,36879
2004,10,AC,Acre,Total,,36948
2004,11,AC,Acre,Total,,38066
2004,12,AC,Acre,Total,,36879
2004,1,AC,Acre,Cativo,,34840
2004,2,AC,Acre,Cativo,,33050
2004,3,AC,Acre,Cativo,,33858
2004,4,AC,Acre,Cativo,,34961
2004,5,AC,Acre,Cativo,,29766
2004,6,AC,Acre,Cativo,,32048
2004,7,AC,Acre,Cativo,,33659
2004,8,AC,Acre,Cativo,,34837
2004,9,AC,Acre,Cativo,,36879
2004,10,AC,Acre,Cativo,,36948
2004,11,AC,Acre,Cativo,,38066
2004,12,AC,Acre,Cativo,,36879
2004,1,AC,Acre,Outros,9943,9428
2004,2,AC,Acre,Outros,10041,9189
2004,3,AC,Acre,Outros,10080,9586
2004,4,AC,Acre,Outros,10101,10355
2004,5,AC,Acre,Outros,10122,6205
2004,6,AC,Acre,Outros,10142,9480
2004,7,AC,Acre,Outros,10272,9813
2004,8,AC,Acre,Outros,10353,10188
2004,9,AC,Acre,Outros,10356,10278
2004,10,AC,Acre,Outros,10425,10180
2004,11,AC,Acre,Outros,10854,10548
2004,12,AC,Acre,Outros,10845,10214
2004,1,AC,Acre,Comercial,12175,7895
2004,2,AC,Acre,Comercial,12183,7328
2004,3,AC,Acre,Comercial,12117,7420
2004,4,AC,Acre,Comercial,12044,7344
2004,5,AC,Acre,Comercial,12126,7141
2004,6,AC,Acre,Comercial,12087,6955
2004,7,AC,Acre,Comercial,12155,7204
2004,8,AC,Acre,Comercial,12229,7580
2004,9,AC,Acre,Comercial,12373,8309
2004,10,AC,Acre,Comercial,12203,7910
2004,11,AC,Acre,Comercial,12161,8377
2004,12,AC,Acre,Comercial,12151,8122
2004,1,AC,Acre,Industrial,761,1738
2004,2,AC,Acre,Industrial,762,1724
2004,3,AC,Acre,Industrial,757,1880
2004,4,AC,Acre,Industrial,744,1714
2004,5,AC,Acre,Industrial,744,1704
2004,6,AC,Acre,Industrial,743,1961
2004,7,AC,Acre,Industrial,751,1809
2004,8,AC,Acre,Industrial,762,2103
2004,9,AC,Acre,Industrial,750,2542
